City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Baillif,GP,85.5,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
274,Bengkulu,ID,76.37,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
275,Ibra,OM,83.37,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
278,Vangaindrano,MG,72.32,clear sky,-23.35,47.6,Hotel Fanilo
280,Hobyo,SO,80.47,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
283,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
285,Peniche,PT,77.61,overcast clouds,39.3558,-9.3811,Hotel Star inn Peniche
286,Amahai,ID,78.78,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
288,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
290,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
292,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
293,Alofi,NU,73.99,light rain,-19.0595,-169.9187,Taloa Heights
294,Mangrol,IN,80.08,clear sky,21.1167,70.1167,Hotel The Royal Honours
296,Ponta Do Sol,PT,74.01,few clouds,32.6667,-17.1,Hotel do Campo
299,Pimentel,PE,67.01,overcast clouds,-6.8367,-79.9342,Casona Del Muelle
300,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
301,Quepos,CR,86.59,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
304,Tagusao,PH,77.18,overcast clouds,9.1924,117.8141,Toledo
306,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
307,Quatre Cocos,MU,75.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
309,Caravelas,BR,80.89,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
310,Gladstone,AU,75.13,light rain,-23.85,151.25,Highpoint International
312,Loum,CM,80.11,light rain,4.7182,9.7351,Hotel ROGER
313,Suez,EG,72.48,clear sky,29.9737,32.5263,Green House
317,Mackay,AU,77.04,overcast clouds,-21.15,149.2,International Lodge Motel
319,Luena,AO,76.44,broken clouds,-11.7833,19.9167,Hotel Kandamba
