City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Tabou,CI,4.423,-7.3528,79.9,83,92,8.25,light rain
147,Isiro,CD,2.7739,27.616,75.27,78,100,1.3,overcast clouds
148,Sur,OM,22.5667,59.5289,82.45,59,0,1.25,clear sky
149,Esperance,AU,-33.8667,121.9,53.06,71,0,17.6,clear sky
150,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,93,90,5.75,overcast clouds
151,Ponta Delgada,PT,37.7333,-25.6667,72.32,64,20,13.8,few clouds
152,Akhtubinsk,RU,48.2795,46.1722,58.91,61,100,8.43,overcast clouds
153,Rorvik,NO,64.8621,11.2373,44.74,69,100,6.38,overcast clouds
154,Uvira,CD,-3.4067,29.1458,78.82,72,76,1.14,broken clouds
155,Naze,JP,28.3667,129.4833,67.82,74,85,18.81,overcast clouds
156,Nabire,ID,-3.3667,135.4833,75.51,94,95,3.06,overcast clouds
157,Airai,TL,-8.9266,125.4092,62.17,88,83,1.45,broken clouds
158,Bathsheba,BB,13.2167,-59.5167,84.63,64,62,18.28,broken clouds
159,Ribeira Grande,PT,38.5167,-28.7,73.8,53,20,12.66,few clouds
160,Clyde River,CA,70.4692,-68.5914,23.47,83,96,13.29,overcast clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,77,75,1.01,broken clouds
162,Oga,IT,46.4631,10.347,45.25,47,9,0.43,clear sky
163,Sitka,US,57.0531,-135.33,43.09,93,100,5.5,moderate rain
164,Saint-Joseph,RE,-21.3667,55.6167,75.58,82,71,5.23,broken clouds
165,Pacific Grove,US,36.6177,-121.9166,57.81,90,82,3.0,broken clouds
166,Norman Wells,CA,65.282,-126.8329,33.84,86,40,6.91,scattered clouds
167,Egvekinot,RU,66.3167,-179.1667,8.92,82,100,7.49,overcast clouds
168,Mgandu,TZ,-5.95,34.1333,82.63,25,70,7.74,broken clouds
169,Chernyshevskiy,RU,63.0128,112.4714,31.35,78,100,11.9,overcast clouds
170,Ketchikan,US,55.3422,-131.6461,45.48,87,100,8.52,light rain
171,San Patricio,US,28.017,-97.5169,82.02,65,99,10.42,overcast clouds
172,Maldonado,UY,-34.6667,-54.9167,60.22,79,100,2.86,moderate rain
173,Cayenne,GF,4.9333,-52.3333,87.1,74,75,5.01,light rain
174,Saint Austell,GB,50.3383,-4.7658,56.07,71,75,17.27,broken clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,59.88,81,70,5.99,broken clouds
176,Sterling,US,39.0062,-77.4286,63.77,75,90,3.0,overcast clouds
177,Payyannur,IN,12.1,75.2,77.81,87,100,3.67,moderate rain
178,Hamilton,US,39.1834,-84.5333,57.99,80,27,1.99,scattered clouds
179,Debre Sina,ET,9.85,39.7667,52.54,53,35,3.2,scattered clouds
180,Inirida,CO,3.8653,-67.9239,86.59,71,52,3.27,broken clouds
181,Provideniya,RU,64.3833,-173.3,23.67,78,100,8.88,overcast clouds
182,Yar-Sale,RU,66.8333,70.8333,30.81,97,100,6.69,overcast clouds
