City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Qaqortoq,GL,2021-10-20 19:43:08,60.7167,-46.0333,274.43,42,0,1.48
192,Meulaboh,ID,2021-10-20 19:43:08,4.1363,96.1285,297.25,90,100,2.48
193,Los Llanos De Aridane,ES,2021-10-20 19:43:09,28.6585,-17.9182,295.01,83,44,5.66
194,Shumskiy,RU,2021-10-20 19:43:09,54.8318,99.1328,273.16,85,7,2.08
195,Sri Aman,MY,2021-10-20 19:43:10,1.2376,111.4621,298.2,94,97,0.0
196,Nalut,LY,2021-10-20 19:43:10,30.3333,10.85,294.52,49,100,8.16
197,Deputatskiy,RU,2021-10-20 19:38:26,69.3,139.9,255.47,98,100,0.6
198,Bonfim,BR,2021-10-20 19:43:11,3.0833,-59.95,304.8,56,91,1.93
199,Diego De Almagro,CL,2021-10-20 19:43:11,-26.3667,-70.05,296.92,15,0,5.69
200,Kavieng,PG,2021-10-20 19:43:11,-2.5744,150.7967,300.33,79,89,2.96
201,Macas,EC,2021-10-20 19:43:12,-2.3167,-78.1167,300.01,61,40,5.14
202,Old Town,CZ,2021-10-20 19:43:12,50.087,14.4202,291.66,56,0,2.24
203,Ajdabiya,LY,2021-10-20 19:43:13,30.7554,20.2263,295.49,53,69,5.04
204,Rudbar,AF,2021-10-20 19:43:13,30.15,62.6,297.74,15,0,2.19
205,Gogaran,AM,2021-10-20 19:43:14,40.8926,44.1992,273.06,82,50,1.18
206,Port Blair,IN,2021-10-20 19:43:14,11.6667,92.75,300.01,83,100,2.21
207,Oriental,MX,2021-10-20 19:43:15,19.3667,-97.6167,293.43,51,90,2.53
208,Yulara,AU,2021-10-20 19:43:15,-25.2406,130.9889,289.06,33,0,2.57
209,Matagami,CA,2021-10-20 19:43:15,49.7502,-77.6328,276.21,98,90,6.17
210,Tabou,CI,2021-10-20 19:40:40,4.423,-7.3528,298.53,89,59,3.99
211,Nanortalik,GL,2021-10-20 19:43:16,60.1432,-45.2371,276.17,75,1,0.66
212,Vao,NC,2021-10-20 19:43:16,-22.6667,167.4833,294.26,94,100,4.54
213,Dikson,RU,2021-10-20 19:43:17,73.5069,80.5464,270.48,63,74,3.69
214,Terra Rica,BR,2021-10-20 19:43:17,-22.7094,-52.6169,297.24,54,7,3.09
215,Rincon,US,2021-10-20 19:43:18,32.296,-81.2354,301.96,38,1,1.54
216,Ivdel,RU,2021-10-20 19:43:18,60.6911,60.4206,271.31,86,11,1.66
